= World Cup 2006    # 32 Teams

== Angola (ANG)   # 23 players

(21)  FW  Peter Crouch                       ##    7, Liverpool (ENG)
(23)  FW  Theo Walcott                       ##    1, Arsenal (ENG)


== Spain (ESP)   # 23 players

 (1)  GK  Iker Casillas                      ##   58, Real Madrid (ESP)
(19)  GK  Santiago Cañizares                 ##   45, Valencia (ESP)
(23)  GK  Pepe Reina                         ##    3, Liverpool (ENG)

 (2)  DF  Míchel Salgado                     ##   50, Real Madrid (ESP)
 (3)  DF  Mariano Pernía                     ##    1, Getafe (ESP)
 (4)  DF  Carlos Marchena                    ##   27, Valencia (ESP)
 (5)  DF  Carles Puyol                       ##   47, Barcelona (ESP)
(12)  DF  Antonio López                      ##    8, Atlético Madrid (ESP)
(15)  DF  Sergio Ramos                       ##   11, Real Madrid (ESP)
(20)  DF  Juanito                            ##   15, Real Betis (ESP)
(22)  DF  Pablo                              ##   11, Atlético Madrid (ESP)

 (6)  MF  David Albelda                      ##   33, Valencia (ESP)
 (8)  MF  Xavi                               ##   36, Barcelona (ESP)
(10)  MF  José Antonio Reyes                 ##   19, Arsenal (ENG)
(11)  MF  Luis García                        ##   10, Liverpool (ENG)
(13)  MF  Andrés Iniesta                     ##    3, Barcelona (ESP)
(14)  MF  Xabi Alonso                        ##   26, Liverpool (ENG)
(16)  MF  Marcos Senna                       ##    3, Villarreal (ESP)
(17)  MF  Joaquín                            ##   38, Real Betis (ESP)
(18)  MF  Cesc Fàbregas                      ##    4, Arsenal (ENG)

 (7)  FW  Raúl                               ##   95, Real Madrid (ESP)
 (9)  FW  Fernando Torres                    ##   30, Atlético Madrid (ESP)
(21)  FW  David Villa                        ##    8, Valencia (ESP)


== France (FRA)   # 23 players

 (1)  GK  Mickaël Landreau                   ##    3, Nantes (FRA)
(16)  GK  Fabien Barthez                     ##   80, Marseille (FRA)
(23)  GK  Grégory Coupet                     ##   18, Lyon (FRA)

 (2)  DF  Jean-Alain Boumsong                ##   19, Newcastle United (ENG)
 (3)  DF  Éric Abidal                        ##    8, Lyon (FRA)
 (5)  DF  William Gallas                     ##   40, Chelsea (ENG)
(13)  DF  Mikaël Silvestre                   ##   39, Manchester United (ENG)
(15)  DF  Lilian Thuram                      ##  114, Juventus (ITA)
(17)  DF  Gaël Givet                         ##   11, AS Monaco (FRA)
(19)  DF  Willy Sagnol                       ##   38, Bayern Munich (GER)
(21)  DF  Pascal Chimbonda                   ##    1, Wigan Athletic (ENG)

 (4)  MF  Patrick Vieira                     ##   87, Juventus (ITA)
 (6)  MF  Claude Makélélé                    ##   43, Chelsea (ENG)
 (7)  MF  Florent Malouda                    ##   13, Lyon (FRA)
 (8)  MF  Vikash Dhorasoo                    ##   16, Paris Saint-Germain (FRA)
(10)  MF  Zinedine Zidane                    ##  102, Real Madrid (ESP)
(18)  MF  Alou Diarra                        ##    9, Lens (FRA)
(22)  MF  Franck Ribéry                      ##    3, Marseille (FRA)

