= World Cup 2002    # 32 Teams

== Argentina (ARG)   # 23 players


 (2)  DF  Francisco Gabriel de Anda          ##   15, Pachuca 
 (5)  DF  Manuel Vidrio                      ##   27, Pachuca 
(16)  DF  Salvador Carmona                   ##   56, Toluca 
(20)  DF  Melvin Brown                       ##    8, Cruz Azul 
(22)  DF  Alberto Rodríguez                  ##   13, Pachuca 

 (3)  MF  Rafael García                      ##   21, Toluca 
 (4)  MF  Rafael Márquez                     ##   36, AS Monaco 
 (6)  MF  Gerardo Torrado                    ##   28, Poli Ejido 
 (7)  MF  Ramón Morales                      ##   17, Guadalajara 
 (8)  MF  Alberto García Aspe                ##  108, Puebla 
(11)  MF  Braulio Luna                       ##   15, Necaxa 
(13)  MF  Sigifredo Mercado                  ##   18, Atlas 
(14)  MF  Germán Villa                       ##   46, América 
(18)  MF  Johan Rodríguez                    ##   14, Santos 
(19)  MF  Gabriel Caballero                  ##    5, Pachuca 

 (9)  FW  Jared Borgetti                     ##   29, Santos 
(10)  FW  Cuauhtémoc Blanco                  ##   75, Real Valladolid 
(15)  FW  Luis Hernández                     ##   85, América 
(17)  FW  Francisco Palencia                 ##   67, Espanyol 
(21)  FW  Jesús Arellano                     ##   49, Monterrey 


== Nigeria (NGA)   # 23 players

 (1)  GK  Ike Shorunmu                       ##   34, Lucerne 
(12)  GK  Austin Ejide                       ##    3, Gabros International 
(22)  GK  Vincent Enyeama                    ##    2, Enyimba 

 (2)  DF  Joseph Yobo                        ##   14, Marseille 
 (3)  DF  Celestine Babayaro                 ##   24, Chelsea 
 (5)  DF  Isaac Okoronkwo                    ##   12, Shakhtar Donetsk 
 (6)  DF  Taribo West                        ##   38, 1. FC Kaiserslautern 
(13)  DF  Rabiu Afolabi                      ##    5, Standard Liège 
(14)  DF  Ifeanyi Udeze                      ##   15, PAOK 
(16)  DF  Efe Sodje                          ##    7, Crewe Alexandra 
(19)  DF  Eric Ejiofor                       ##   12, Maccabi Haifa 

 (7)  MF  Pius Ikedia                        ##    9, Ajax 
 (8)  MF  Mutiu Adepoju                      ##   49, Salamanca 
(10)  MF  Jay-Jay Okocha                     ##   56, Paris Saint-Germain 
(11)  MF  Garba Lawal                        ##   34, Roda JC 
(15)  MF  Justice Christopher                ##    7, Royal Antwerp 
(20)  MF  James Obiorah                      ##    2, Lokomotiv Moscow 

 (4)  FW  Nwankwo Kanu                       ##   33, Arsenal 
 (9)  FW  Bartholomew Ogbeche                ##    4, Paris Saint-Germain 
(17)  FW  Julius Aghahowa                    ##   17, Shakhtar Donetsk 
(18)  FW  Benedict Akwuegbu                  ##   16, Shenyang Haishi 
(21)  FW  John Utaka                         ##    4, Al-Sadd 
