= World Cup 1970    # 16 Teams

== Belgium (BEL)   # 22 players

 (7)  MF  Emerich Dembrovschi                ##   11, Dinamo Bacău 
(10)  MF  Radu Nunweiller                    ##   14, Dinamo Bucureşti 
(16)  MF  Alexandru Neagu                    ##    4, Rapid Bucureşti 
(17)  MF  Gheorghe Tătaru                    ##    0, Steaua Bucureşti 

 (8)  FW  Nicolae Dobrin                     ##   24, FC Argeş Piteşti 
 (9)  FW  Florea Dumitrache                  ##   13, Dinamo Bucureşti 
(11)  FW  Mircea Lucescu                     ##   25, Dinamo Bucureşti 
(18)  FW  Marin Tufan                        ##    2, Farul Constanţa 
(19)  FW  Flavius Domide                     ##    6, UTA Arad 


== Sweden (SWE)   # 22 players

 (1)  GK  Ronnie Hellström                   ##   12, Hammarby IF 
(12)  GK  Sven-Gunnar Larsson                ##   14, Örebro SK 
(17)  GK  Ronney Pettersson                  ##   17, Djurgårdens IF 

 (2)  DF  Hans Selander                      ##   28, Helsingborgs IF 
 (3)  DF  Kurt Axelsson                      ##   21, Club Brugge 
 (4)  DF  Björn Nordqvist                    ##   42, IFK Norrköping 
 (5)  DF  Roland Grip                        ##   21, AIK 
(14)  DF  Krister Kristensson                ##   17, Malmö FF 
(15)  DF  Leif Målberg                       ##    0, IF Elfsborg 
(20)  DF  Jan Olsson                         ##   12, GAIS 

 (6)  MF  Tommy Svensson                     ##   23, Östers IF 
 (7)  MF  Bo Larsson                         ##   22, Malmö FF 
 (8)  MF  Leif Eriksson                      ##   40, Örebro SK 
 (9)  MF  Ove Kindvall                       ##   15, Feyenoord 
(10)  MF  Ove Grahn                          ##   14, Grasshoppers Club 
(11)  MF  Örjan Persson                      ##   28, Örgryte IS 
(13)  MF  Claes Cronqvist                    ##    2, Djurgårdens IF 
(19)  MF  Göran Nicklasson                   ##    1, IFK Göteborg 
(22)  MF  Sten Pålsson                       ##    6, GAIS 

(16)  FW  Tomas Nordahl                      ##    8, Örebro SK 
(18)  FW  Tom Turesson                       ##   18, Hammarby IF 
(21)  FW  Inge Ejderstedt                    ##   15, Östers IF 


== El Salvador (SLV)   # 22 players

 (1)  GK  Raúl Magaña                        ##    -, CD FAS 
(13)  GK  Tomas Pineda                       ##    -, Alianza FC 
(20)  GK  Gualberto Fernández                ##    -, Atlante 

 (2)  DF  Roberto Rivas                      ##    -, Alianza FC 
 (3)  DF  Salvador Mariona                   ##    -, Alianza FC 
 (4)  DF  Santiago Cortés                    ##    -, Atlético Marte 
 (5)  DF  Saturnino Osorio                   ##    -, Águila 
(14)  DF  Mauricio Manzano                   ##    -, CD FAS 
