= World Cup 1966    # 16 Teams

== Argentina (ARG)   # 22 players

 (4)  MF  Kang Bong-Chil                     ##    -, 8 February 
 (6)  MF  Im Seung-Hwi                       ##    -, 8 February 
(11)  MF  Han Bong-Zin                       ##    -, 8 February 
(16)  MF  Li Dong-Woon                       ##    -, Rodongja 
(17)  MF  Kim Bong-Hwan                      ##    -, Kigwancha 
(18)  MF  Ke Seung-Woon                      ##    -, Rodongja 
(21)  MF  An Se-Bok                          ##    -, Amrokgang 

 (7)  FW  Pak Doo-Ik                         ##    -, Moranbong 
 (8)  FW  Pak Seung-Zin                      ##    -, Moranbong 
(10)  FW  Kang Ryong-Woon                    ##    -, Rodongja 
(12)  FW  Kim Seung-Il                       ##    -, Moranbong 
(15)  FW  Yang Seung-Kook                    ##    -, Kigwancha 
(22)  FW  Li Chi-An                          ##    -, 8 February 


== Mexico (MEX)   # 22 players

 (1)  GK  Antonio Carbajal                   ##    -, Leon 
(12)  GK  Ignacio Calderón                   ##    -, Guadalajara 
(22)  GK  Javier Vargas                      ##    -, Atlas 

 (2)  DF  Arturo Chaires                     ##    -, Guadalajara 
 (3)  DF  Gustavo Peña                       ##    -, Oro 
 (4)  DF  Jesús del Muro                     ##    -, Veracruz 
(14)  DF  Gabriel Núñez                      ##    -, Zacatepec 

 (5)  MF  Ignacio Jáuregui                   ##    -, Monterrey 
 (6)  MF  Isidoro Díaz                       ##    -, Guadalajara 
 (9)  MF  Ernesto Cisneros                   ##    -, Atlas 
(13)  MF  José Luis González                 ##    -, Necaxa 
(15)  MF  Guillermo Hernández                ##    -, Atlas 
(16)  MF  Luis Regueiro                      ##    -, UNAM 
(17)  MF  Magdaleno Mercado                  ##    -, Atlas 

 (7)  FW  Felipe Ruvalcaba                   ##    -, Oro 
 (8)  FW  Aarón Padilla                      ##    -, UNAM 
(10)  FW  Javier Fragoso                     ##    -, América 
(11)  FW  Francisco Jara                     ##    -, Universidad Nuevo León 
(18)  FW  Elías Muñoz                        ##    -, Universidad Nuevo León 
(19)  FW  Salvador Reyes                     ##    -, Guadalajara 
(20)  FW  Enrique Borja                      ##    -, UNAM 
(21)  FW  Ramiro Navarro                     ##    -, Oro 


== Portugal (POR)   # 22 players

 (1)  GK  Américo                            ##    -, Porto 
 (2)  GK  Joaquim Carvalho                   ##    -, Sporting CP 
 (3)  GK  José Pereira                       ##    -, Belenenses 

 (4)  DF  Vicente                            ##    -, Belenenses 
 (5)  DF  Germano                            ##    -, Benfica 
(17)  DF  João Morais                        ##    -, Sporting CP 
(20)  DF  Alexandre Baptista                 ##    -, Sporting CP 
(21)  DF  José Carlos                        ##    -, Sporting CP 
(22)  DF  Alberto Festa                      ##    -, Porto 

 (6)  MF  Fernando Peres                     ##    -, Sporting CP 
 (9)  MF  Hilário                            ##    -, Sporting CP 
(10)  MF  Mário Coluna                       ##    -, Benfica 
(11)  MF  António Simões                     ##    -, Benfica 
(12)  MF  José Augusto                       ##    -, Benfica 
(14)  MF  Fernando Cruz                      ##    -, Benfica 
(16)  MF  Jaime Graça                        ##    -, Vitória Setúbal 
(19)  MF  Custódio Pinto                     ##    -, Porto 

 (7)  FW  Ernesto Figueiredo                 ##    -, Sporting CP 
 (8)  FW  João Lourenço                      ##    -, Sporting CP 
(13)  FW  Eusébio                            ##    -, Benfica 
(15)  FW  Manuel Duarte                      ##    -, Leixões 
(18)  FW  José Torres                        ##    -, Benfica 


== Soviet Union (URS)   # 22 players

 (1)  GK  Lev Yashin                         ##   63, Dynamo Moscow 
(21)  GK  Anzor Kavazashvili                 ##    9, Torpedo Moscow 
(22)  GK  Viktor Bannikov                    ##    7, Dynamo Kiev 

 (3)  DF  Leonid Ostrovskiy                  ##    7, Dynamo Kiev 
 (4)  DF  Vladimir Ponomaryov                ##   16, CSKA Moscow 
 (6)  DF  Albert Shesternyov                 ##   28, CSKA Moscow 
 (9)  DF  Viktor Getmanov                    ##    5, Rostov 
(10)  DF  Vasiliy Danilov                    ##   13, Zenit Leningrad 
(13)  DF  Alexey Korneyev                    ##    4, Spartak Moscow 

 (5)  MF  Valentin Afonin                    ##   10, Rostov 
 (7)  MF  Murtaz Khurtsilava                 ##    5, Dynamo Tbilisi 
 (8)  MF  Yozhef Sabo                        ##   10, Dynamo Kiev 
(11)  MF  Igor Chislenko                     ##   26, Dynamo Moscow 
(12)  MF  Valery Voronin                     ##   46, Torpedo Moscow 
(14)  MF  Georgi Sichinava                   ##    5, Dynamo Tbilisi 

 (2)  FW  Viktor Serebryanikov               ##    7, Dynamo Kiev 
(15)  FW  Galimzyan Khusainov                ##   26, Spartak Moscow 
(16)  FW  Slava Metreveli                    ##   42, Dynamo Tbilisi 
(17)  FW  Valeriy Porkujan                   ##    0, Dynamo Kiev 
(18)  FW  Anatoliy Banishevskiy              ##   13, Neftyanik Baku 
(19)  FW  Eduard Malofeyev                   ##   15, Dynamo Minsk 
(20)  FW  Eduard Markarov                    ##    1, Neftyanik Baku 


== Uruguay (URU)   # 22 players

 (1)  GK  Ladislao Mazurkiewicz              ##    6, Peñarol 
(12)  GK  Roberto Sosa                       ##   19, Nacional 
(22)  GK  Walter Taibo                       ##   31, Peñarol 

 (2)  DF  Horacio Troche                     ##   25, Cerro 
 (3)  DF  Jorge Manicera                     ##   15, Nacional 
 (5)  DF  Néstor Gonçalves                   ##   37, Peñarol 
(13)  DF  Nelson Díaz                        ##    8, Peñarol 
(14)  DF  Emilio Álvarez                     ##   15, Nacional 
(15)  DF  Luis Ubiñas                        ##    4, Rampla Juniors 
(16)  DF  Eliseo Álvarez                     ##    6, Rampla Juniors 
(20)  DF  Luis Ramos                         ##    2, Nacional 

 (4)  MF  Pablo Forlán                       ##    2, Peñarol 
 (6)  MF  Omar Caetano                       ##   12, Peñarol 
 (7)  MF  Julio César Cortés                 ##   12, Peñarol 
(17)  MF  Héctor Salvá                       ##    8, Danubio 
(19)  MF  Héctor Silva                       ##   18, Peñarol 
(21)  MF  Víctor Espárrago                   ##    6, Nacional 

 (8)  FW  José Urruzmendi                    ##   12, Nacional 
 (9)  FW  José Sasía                         ##   43, Defensor Sporting 
(10)  FW  Pedro Rocha                        ##   20, Peñarol 
(11)  FW  Domingo Pérez                      ##   19, Nacional 
(18)  FW  Milton Viera                       ##    2, Nacional 

